"Agency description","Year","Expenditure"
"Department of Peacekeeping Operations","2015","8759159000"
"United Nations","2015","5613139904"
"United Nations Children’s Fund","2015","5077601656"
"United Nations Development Programme","2015","5057413898"
"World Food Programme","2015","4893472393"
"Office of the United Nations High Commissioner for Refugees","2015","3278871762"
"World Health Organization","2015","2738660315"
"International Organization for Migration","2015","1594121668"
"Pan American Health Organization","2015","1379321927"
"UN Relief and Works Agency for Palestine Refugees","2015","1333774841"
"Food and Agriculture Organization of the United Nations","2015","1219235388"
"United Nations Population Fund","2015","977375687"
"United Nations Educational, Scientific and Cultural Organization","2015","762491041"
"United Nations Office for Project Services","2015","671526000"
"International Labour Organization","2015","659746643"
"International Atomic Energy Agency","2015","570543764"
"United Nations Environment Programme","2015","559703000"
"World intellectual Property Organization","2015","351839000"
"UN Women","2015","314974000"
"Joint United Nations Programme on HIV/AIDS","2015","293936807"
"United Nations Office on Drugs and Crime","2015","278919255"
"World Trade Organization","2015","247027182"
"United Nations Industrial Development Organization","2015","244140762"
"International Civil Aviation Organization","2015","194803848"
"International Telecommunication Union","2015","191833044"
"International Fund for Agricultural Development","2015","168226000"
"United Nations Human Settlements Programme","2015","167062016"
"International Trade Centre UNCTAD/WTO","2015","102654000"
"World Meteorological Organization","2015","102471241"
"Universal Postal Union","2015","79265758"
"United Nations University","2015","74632000"
"International Maritime Organization","2015","68054803"
"World Tourism Organization","2015","27013663"
"United Nations Institute for Training and Research","2015","23473000"
