"Agency description","Year","Expenditure"
"Department of Peacekeeping Operations","2017","8,263,932,000"
"World Food Programme","2017","6,224,010,883"
"United Nations Children’s Fund","2017","5,843,812,313"
"United Nations","2017","5,788,872,170"
"United Nations Development Programme","2017","5,094,775,419"
"Office of the United Nations High Commissioner for Refugees","2017","3,942,839,988"
"World Health Organization","2017","2,680,744,796"
"International Organization for Migration","2017","1,605,352,909"
"Food and Agriculture Organization of the United Nations","2017","1,531,753,306"
"Pan American Health Organization","2017","1,435,096,541"
"UN Relief and Works Agency for Palestine Refugees","2017","1,310,443,631"
"United Nations Population Fund","2017","926,869,317"
"United Nations Office for Project Services","2017","815,855,396"
"United Nations Educational, Scientific and Cultural Organization","2017","688,169,870"
"International Atomic Energy Agency","2017","642,585,424"
"International Labour Organization","2017","640,794,735"
"United Nations Environment Programme","2017","562,234,566"
"World intellectual Property Organization","2017","403,729,039"
"UN Women","2017","338,615,000"
"United Nations Office on Drugs and Crime","2017","308,703,000"
"United Nations Industrial Development Organization","2017","299,180,198"
"World Trade Organization","2017","257,713,701"
"International Civil Aviation Organization","2017","215,225,968"
"International Telecommunication Union","2017","200,015,337"
"United Nations Human Settlements Programme","2017","197,483,176"
"International Fund for Agricultural Development","2017","188,817,000"
"International Criminal Court","2017","186,698,415"
"Joint United Nations Programme on HIV/AIDS","2017","173,371,100"
"Comprehensive Nuclear-Test-Ban Treaty Organization","2017","124,931,880"
"World Meteorological Organization","2017","107,891,616"
"United Nations University","2017","107,838,582"
"The United Nations Framework Convention on Climate Change","2017","95,353,834"
"International Trade Centre UNCTAD/WTO","2017","88,210,000"
"Universal Postal Union","2017","82,854,833"
"International Maritime Organization","2017","71,238,649"
"United Nations Capital Development Fund","2017","64,585,908"
"United Nations Institute for Training and Research","2017","28,129,041"
"World Tourism Organization","2017","27,201,861"
"UN System Staff College","2017","10,027,597"
"United Nations Research Institute for Social Development","2017","2,046,362"
